regions,Finess,typeEtab,ScoreAgrege,ClasseScoreAgrege,Chirurgie,RaisonSociale,CPA,Ambulatoire,Autodialyse exclusif,liso,liso_classe,bmr_classe,bmr,icalin2,icalin2_classe,icatb,icatb_classe,icsha2,icsha2_classe,sarm,sarm_classe,sarm_evolution,Adresse des hopitaux et clinique en 2011_Adresse des établissement de santé (Sans Geolocalisation érroné)_Raison Sociale,Adresse des hopitaux et clinique en 2011_Adresse des établissement de santé (Sans Geolocalisation érroné)_field_3,Adresse des hopitaux et clinique en 2011_Adresse des établissement de santé (Sans Geolocalisation érroné)_Num,Adresse des hopitaux et clinique en 2011_Adresse des établissement de santé (Sans Geolocalisation érroné)_TypeRue,Adresse des hopitaux et clinique en 2011_Adresse des établissement de santé (Sans Geolocalisation érroné)_NomRue,CodePostal,lat,long,Adresse des hopitaux et clinique en 2011_Adresse des établissement de santé (Sans Geolocalisation érroné)_field_13
Alsace,670000033,08-CLCC-CANCER,98.13,A,Oui,CRLCC  PAUL STRAUSS,0,0,0,100,A,A,100,97.5,A,95,A,136.5,A,0,NA,NC,"CRLCC  """"PAUL STRAUSS""""","CENTRE REGIONAL DE LUTTE CONTRE LE CANCER """"PAUL STRAUSS""""",3,R,DE LA PORTE DE L'HOPITAL,67065 STRASBOURG CEDEX,7.75094039999999,48.5764064,
Alsace,670000082,02-CH INF 300 LP,96.15,A,Oui,CLINIQUE ADASSA,0,0,0,95,A,A,100,94,A,95,A,120.4,A,0,NC,NC,CLINIQUE ADASSA,CLINIQUE ADASSA,13,PL,DE HAGUENAU,67082 STRASBOURG CEDEX,7.7442570000000615,48.5918784,
Alsace,670000215,04-HOPITAL LOCAL,84.3,A,Non,HOPITAL DU NEUENBERG,0,0,0,0,NC,B,68,83,A,85,A,94.2,A,0.46,D,0,HOPITAL DU NEUENBERG,HOPITAL DU NEUENBERG,38,R,DU PASTEUR HERRMANN,67340 INGWILLER,7.484994099999994,48.8730326,
Alsace,670000249,07-SSR-SLD,86.5,NA,Non,CENTRE SSR CHATEAU WALK,1,0,0,0,NC,NC,0,86.5,A,0,NC,0,NC,0,NC,NC,"CENTRE SSR """"CHATEAU WALK""""","CENTRE SSR EN ADDICTOLOGIE """"CHATEAU WALK""""",40,R,DU DEPUTE  HALLEZ,67503 HAGUENAU CEDEX,7.7682508000000325,48.7939079,
Alsace,670000652,09-HAD,67.33,B,Non,AURAL,0,0,0,0,NC,C,28,59.5,B,0,NC,107.3,A,0,NC,NC,,,,,,,,,
Alsace,670002278,07-SSR-SLD,68.74,B,Non,CLINIQUE DU RIED,0,0,0,0,NC,D,54,58,C,63.75,B,130.9,A,0,D,D,CLINIQUE DU RIED,CLINIQUE DU RIED,1,R,DU CHATEAU D'ANGLETERRE,67300 SCHILTIGHEIM,7.771186899999975,48.621742,
Alsace,670005834,10-HEMODIALYSE,68.18,B,Non,FONDATION TRANSPLANTATION - FDTSFV - SIEGE SOCIAL,0,0,0,0,NC,B,76,75,B,0,NC,52.5,C,0,NC,NC,,,,,,,,,
Alsace,670013325,05-CL INF 100 LP,88.58,A,Non,CTRE AUTONOME D'ENDOSC DIGESTIVE AMBUL,0,1,0,0,NC,NC,0,97,A,0,NC,73.6,B,0,NC,NC,CTRE AUTONOME D'ENDOSC DIGESTIVE AMBUL,CENTRE AUTONOME D'ENDOSCOPIE DIGESTIVE AMBULATOIRE,6,R,DES CIGOGNES,67000 STRASBOURG,7.744713600000068,48.5886414,
Alsace,670013333,05-CL INF 100 LP,85.6,A,Non,ENDOSAV,0,1,0,0,NC,NC,0,77.5,B,0,NC,180.7,A,0,NC,NC,,,,,,,,,
Alsace,670013366,03-ETAB. PSY,76.64,A,Non,EPSAN BRUMATH,0,0,0,0,NC,A,86,80.5,A,76.25,A,65.5,B,0,NC,NC,,,,,,,,,
Alsace,670780055,01-CHR-CHU,87.63,A,Oui,HOPITAUX UNIVERSITAIRES DE STRASBOURG,0,0,0,88,A,B,92,78.5,B,88.75,B,119.1,A,0.61,C,0,,,,,,,,,
Alsace,670780071,07-SSR-SLD,78.84,A,Non,HOPITAL LA GRAFENBOURG,0,0,0,0,NC,B,76,68,B,86.25,A,91.8,A,0,NC,NC,,,,,,,,,
Alsace,670780121,07-SSR-SLD,86.18,A,Non,CRF CLEMENCEAU STRASBOURG,0,0,0,0,NC,A,94,79.5,A,80,A,105,A,0,NC,NC,INST UNIVERS READAPTATION CLEMENCEAU,INSTITUT UNIVERSITAIRE DE READAPTATION CLEMENCEAU STRASBOURG,45,BD,CLEMENCEAU,67082 STRASBOURG CEDEX,7.754583899999943,48.5921904,
Alsace,670780162,05-CL SUP 100 LP,79.04,B,Oui,CLINIQUE DES DIACONESSES,0,0,0,78,C,C,72,79.5,B,91.25,A,70.3,B,0,NC,NC,,,,,,,,,
Alsace,670780170,05-CL SUP 100 LP,69.19,C,Oui,CLINIQUE DE L'ORANGERIE,0,0,0,75,C,E,32,75,C,78.75,B,63.7,B,0.7,D,0,CLINIQUE DE L'ORANGERIE,CLINIQUE DE L'ORANGERIE,29,ALL,DE LA ROBERTSAU,67010 STRASBOURG CEDEX,7.7649225000000115,48.5879646,
Alsace,670780188,05-CL SUP 100 LP,98.65,A,Oui,Groupe Hospitalier Saint-Vincent,0,0,0,100,A,A,100,99,A,95,A,120.6,A,0.43,C,0,CLINIQUE SAINTE-BARBE,CLINIQUE SAINTE-BARBE DU GROUPE HOSPITALIER SAINT-VINCENT,29,R,DU FAUBOURG NATIONAL,67085 STRASBOURG CEDEX,7.735558699999956,48.58217459999999,
Alsace,670780204,05-CL SUP 100 LP,90.44,A,Oui,CLINIQUE SAINTE-ODILE STRASBOURG,0,0,0,100,A,A,100,88,A,100,A,73.2,B,0.13,B,0,,,,,,,,,
Alsace,670780337,02-CH SUP 300 LP,92.44,A,Oui,CENTRE HOSPITALIER DE HAGUENAU,0,0,0,91,A,C,84,93.5,A,90,A,98.3,A,0.76,D,0,,,,,,,,,
Alsace,670780345,02-CH SUP 300 LP,72.58,C,Oui,CH SAINTE-CATHERINE DE SAVERNE,0,0,0,75,C,D,64,59,E,87.5,A,83.9,A,0.39,B,0,,,,,,,,,
Alsace,670780352,07-SSR-SLD,64.05,B,Non,HOPITAL LOCAL DE BOUXWILLER,0,0,0,0,NC,A,92,34,E,66.25,B,141.9,A,0,NC,NC,,,,,,,,,
Alsace,670780360,04-HOPITAL LOCAL,47.12,C,Non,HOPITAL LOCAL DE SARRE-UNION,0,0,0,0,NC,E,24,47,E,6.25,D,277.3,A,0,NC,NC,,,,,,,,,
Alsace,670780378,05-CL SUP 100 LP,79.44,B,Oui,CLINIQUE SAINT-FRANÇOIS,0,0,0,63,E,A,100,67,D,95,A,87.7,A,0,NC,NC,CLINIQUE SAINT-FRANÇOIS,CLINIQUE SAINT-FRANÇOIS,1,R,COLOME,67502 HAGUENAU CEDEX,7.786982999999964,48.819662,
Alsace,670780386,05-CL SUP 100 LP,73.2,B,Oui,CLINIQUE SAINTE-ODILE HAGUENAU,0,0,0,63,E,E,46,79,B,57.5,C,118.6,A,0,NC,NC,CLINIQUE SAINTE-ODILE HAGUENAU,CLINIQUE SAINTE-ODILE (HAGUENAU),6,R,DES PREMONTRES,67501 HAGUENAU CEDEX,7.792567299999973,48.8187243,
